Minimum Salary,Median Salary,Maximum Salary
132000.0,144000.0,156000.0
72000.0,108000.0,144000.0
102000.0,123000.0,144000.0
96000.0,120000.0,144000.0
102000.0,123000.0,144000.0
72000.0,108000.0,144000.0
72000.0,108000.0,144000.0
104400.0,120000.0,135600.0
104400.0,120000.0,135600.0
96000.0,114000.0,132000.0
84000.0,108000.0,132000.0
96000.0,114000.0,132000.0
84000.0,108000.0,132000.0
96000.0,114000.0,132000.0
72000.0,99000.0,126000.0
72000.0,99000.0,126000.0
96000.0,108000.0,120000.0
102000.0,111000.0,120000.0
96000.0,108000.0,120000.0
102000.0,111000.0,120000.0
84000.0,99000.0,114000.0
84000.0,99000.0,114000.0
72000.0,90000.0,108000.0
54000.0,81000.0,108000.0
72000.0,90000.0,108000.0
60000.0,84000.0,108000.0
90000.0,99000.0,108000.0
72000.0,90000.0,108000.0
60000.0,84000.0,108000.0
60000.0,84000.0,108000.0
60000.0,84000.0,108000.0
84000.0,96000.0,108000.0
66000.0,84000.0,102000.0
66000.0,84000.0,102000.0
66000.0,84000.0,102000.0
72000.0,87000.0,102000.0
78000.0,90000.0,102000.0
78000.0,90000.0,102000.0
78000.0,90000.0,102000.0
60000.0,78000.0,96000.0
60000.0,78000.0,96000.0
72000.0,84000.0,96000.0
54000.0,75000.0,96000.0
72000.0,84000.0,96000.0
72000.0,84000.0,96000.0
72000.0,84000.0,96000.0
60000.0,78000.0,96000.0
60000.0,78000.0,96000.0
60000.0,78000.0,96000.0
54000.0,75000.0,96000.0
60000.0,78000.0,96000.0
84000.0,87000.0,90000.0
72000.0,78000.0,84000.0
42000.0,63000.0,84000.0
48000.0,66000.0,84000.0
48000.0,66000.0,84000.0
60000.0,72000.0,84000.0
72000.0,78000.0,84000.0
72000.0,78000.0,84000.0
72000.0,78000.0,84000.0
54000.0,69000.0,84000.0
60000.0,72000.0,84000.0
57600.0,70800.0,84000.0
54000.0,69000.0,84000.0
54000.0,69000.0,84000.0
72000.0,78000.0,84000.0
72000.0,78000.0,84000.0
63600.0,70800.0,78000.0
54000.0,66000.0,78000.0
54000.0,66000.0,78000.0
60000.0,69000.0,78000.0
60000.0,69000.0,78000.0
54000.0,66000.0,78000.0
66000.0,72000.0,78000.0
66000.0,72000.0,78000.0
60000.0,69000.0,78000.0
66000.0,72000.0,78000.0
60000.0,69000.0,78000.0
42000.0,60000.0,78000.0
60000.0,66000.0,72000.0
60000.0,66000.0,72000.0
48000.0,60000.0,72000.0
48000.0,60000.0,72000.0
68400.0,70200.0,72000.0
55200.0,63600.0,72000.0
60000.0,66000.0,72000.0
48000.0,60000.0,72000.0
48000.0,60000.0,72000.0
60000.0,66000.0,72000.0
48000.0,60000.0,72000.0
57600.0,63600.0,69600.0
57600.0,63600.0,69600.0
63600.0,66000.0,68400.0
63600.0,66000.0,68400.0
57600.0,62400.0,67200.0
57600.0,62400.0,67200.0
60000.0,63600.0,67200.0
60000.0,63600.0,67200.0
42000.0,54000.0,66000.0
48000.0,57000.0,66000.0
60000.0,63000.0,66000.0
60000.0,61800.0,63600.0
54000.0,58800.0,63600.0
45600.0,54000.0,62400.0
54000.0,58200.0,62400.0
48000.0,54000.0,60000.0
48000.0,54000.0,60000.0
42000.0,51000.0,60000.0
48000.0,54000.0,60000.0
48000.0,54000.0,60000.0
48000.0,54000.0,60000.0
48000.0,54000.0,60000.0
48000.0,54000.0,60000.0
48000.0,54000.0,60000.0
42000.0,51000.0,60000.0
42000.0,51000.0,60000.0
48000.0,51000.0,54000.0
42000.0,48000.0,54000.0
48000.0,51000.0,54000.0
42000.0,48000.0,54000.0
42000.0,48000.0,54000.0
42000.0,48000.0,54000.0
42000.0,48000.0,54000.0
40800.0,47316.0,53832.0
48000.0,50400.0,52800.0
48000.0,50400.0,52800.0
36000.0,43200.0,50400.0
44400.0,47400.0,50400.0
44400.0,47400.0,50400.0
44400.0,47400.0,50400.0
42000.0,46200.0,50400.0
42000.0,45000.0,48000.0
30000.0,39000.0,48000.0
44400.0,46200.0,48000.0
33600.0,39600.0,45600.0
36000.0,39000.0,42000.0
36000.0,39000.0,42000.0
33600.0,37800.0,42000.0
36000.0,39000.0,42000.0
36000.0,39000.0,42000.0
33600.0,34800.0,36000.0
20400.0,22200.0,24000.0
20400.0,22200.0,24000.0
15000.0,17500.0,20000.0
12000.0,15000.0,18000.0
12000.0,15000.0,18000.0
11000.0,12500.0,14000.0
7000.0,8500.0,10000.0
7000.0,8500.0,10000.0
6300.0,7300.0,8300.0
4000.0,5000.0,6000.0
4500.0,5050.0,5600.0
3200.0,4350.0,5500.0
5000.0,5250.0,5500.0
3000.0,4000.0,5000.0
3700.0,3850.0,4000.0
100.0,100.0,100.0
